play_set,general_set,metric,normalized,embeddings,n_trials,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,count_8
small,small,euclidean,True,random,10000,0,0,0,576,5250,3348,742,80,4
small,small,cosine,True,real,10000,0,43,2384,4256,2321,806,172,18,0
large,large,cosine,True,real,10000,0,0,367,3149,3739,2034,595,109,7
small,large,cosine,True,real,10000,0,0,511,3440,3636,1750,542,111,10
small,small,euclidean,True,real,10000,0,37,2435,4275,2260,784,188,20,1
large,large,euclidean,True,real,10000,0,0,361,3001,3926,2015,577,111,9
small,large,euclidean,True,real,10000,0,0,520,3439,3603,1784,542,100,12
small,small,cosine,True,random,10000,0,0,0,622,5198,3402,696,75,7
large,large,cosine,True,random,10000,0,0,0,0,2,2150,6299,1455,94
small,large,cosine,True,random,10000,0,0,0,0,1,2264,6218,1419,98
large,large,euclidean,True,random,10000,0,0,0,0,1,2239,6208,1455,97
small,large,euclidean,True,random,10000,0,0,0,0,2,2179,6255,1467,97
small,small,cosine,False,real,10000,0,27,1051,3648,3360,1467,371,70,6
large,large,cosine,False,real,10000,0,7,283,1815,3456,2848,1303,261,27
small,large,cosine,False,real,10000,0,0,109,1333,3479,3255,1460,331,33
small,small,euclidean,False,real,10000,0,635,4336,3312,1271,351,82,12,1
large,large,euclidean,False,real,10000,0,46,1844,3915,2846,1050,258,36,5
small,large,euclidean,False,real,10000,0,150,2949,3946,2091,693,150,18,3
small,small,cosine,False,random,10000,0,0,1,625,5283,3303,706,79,3
large,large,cosine,False,random,10000,0,0,0,0,0,2336,6162,1425,77
small,large,cosine,False,random,10000,0,0,0,0,3,2337,6178,1398,84
small,small,euclidean,False,random,10000,0,9,507,2822,3849,2160,568,83,2
large,large,euclidean,False,random,10000,0,0,6,245,1918,3988,2953,811,79
small,large,euclidean,False,random,10000,0,0,5,258,1917,4008,2935,792,85
