n,d,metric,n_trials,mean_score,std_score
10000,2,cosine,10000,2.5464,0.8150135213602288
10000,2,euclidean,10000,3.2548,0.8914465547636605
10000,2,cosine_minus_euclidean,10000,-0.7084,0.8717622611698673
10000,3,cosine,10000,3.3927,0.8917884894973696
10000,3,euclidean,10000,3.7972,0.9113024525370268
10000,3,cosine_minus_euclidean,10000,-0.4045,0.7695971348699266
10000,4,cosine,10000,4.0218,0.9128662333551396
10000,4,euclidean,10000,4.1621,0.931677835949745
10000,4,cosine_minus_euclidean,10000,-0.1403,0.7668219545631176
10000,5,cosine,10000,4.4547,0.9173592044559209
10000,5,euclidean,10000,4.4093,0.9324020109373424
10000,5,cosine_minus_euclidean,10000,0.0454,0.7892647464571061
10000,10,cosine,10000,5.2417,0.8543307965887686
10000,10,euclidean,10000,4.8778,0.9484024251339724
10000,10,cosine_minus_euclidean,10000,0.3639,0.9186276666854749
10000,20,cosine,10000,5.5858,0.765662040328499
10000,20,euclidean,10000,5.0701,0.9607215985913922
10000,20,cosine_minus_euclidean,10000,0.5157,1.017621496431753
10000,50,cosine,10000,5.8118,0.6875905467645698
10000,50,euclidean,10000,5.1923,0.961519999791996
10000,50,cosine_minus_euclidean,10000,0.6195,1.071410168889581
10000,100,cosine,10000,5.8787,0.6552757511155132
10000,100,euclidean,10000,5.2248,0.9676078544534453
10000,100,cosine_minus_euclidean,10000,0.6539,1.1040447409412355
10000,300,cosine,10000,5.9226,0.6311966729950341
10000,300,euclidean,10000,5.2352,0.9742078628301047
10000,300,cosine_minus_euclidean,10000,0.6874,1.1209287399295282
10000,500,cosine,10000,5.9406,0.6372375067429725
10000,500,euclidean,10000,5.2433,0.9686615043450422
10000,500,cosine_minus_euclidean,10000,0.6973,1.1302533830960206
