n,d,metric,n_trials,mean_score,std_score
10000,384,cosine,1000,5.933,0.6296911941578983
10000,384,euclidean,1000,5.211,0.9625377914658727
10000,384,cosine_minus_euclidean,1000,0.722,1.1129761902215158
1000,384,cosine,1000,4.771,0.7270206324444994
1000,384,euclidean,1000,4.265,0.9832471713663864
1000,384,cosine_minus_euclidean,1000,0.506,1.126926794428103
1000,300,cosine,1000,4.81,0.7522632517942106
1000,300,euclidean,1000,4.227,0.9692631221706519
1000,300,cosine_minus_euclidean,1000,0.583,1.1726512695597102
1000,200,cosine,1000,4.793,0.7100359145846076
1000,200,euclidean,1000,4.195,1.0004873812297683
1000,200,cosine_minus_euclidean,1000,0.598,1.18169200725062
1000,100,cosine,1000,4.773,0.7331241368281365
1000,100,euclidean,1000,4.296,0.9769257904262739
1000,100,cosine_minus_euclidean,1000,0.477,1.1302526266282242
1000,50,cosine,1000,4.736,0.7926562937364467
1000,50,euclidean,1000,4.289,1.0195484294529613
1000,50,cosine_minus_euclidean,1000,0.447,1.1468177710517045
1000,25,cosine,1000,4.656,0.7743797518014014
1000,25,euclidean,1000,4.225,0.9604035610096415
1000,25,cosine_minus_euclidean,1000,0.431,1.0794623661804983
1000,25,cosine,1000,4.65,0.7703895118704563
1000,25,euclidean,1000,4.276,0.9745891442038539
1000,25,cosine_minus_euclidean,1000,0.374,1.0752320679741652
1000,12,cosine,1000,4.485,0.8898173969978335
1000,12,euclidean,1000,4.127,0.9730729674592753
1000,12,cosine_minus_euclidean,1000,0.358,1.0236386081034654
1000,7,cosine,1000,4.229,0.860557377517618
1000,7,euclidean,1000,4.084,0.9449571418852816
1000,7,cosine_minus_euclidean,1000,0.145,0.8966465301332516
10000,7,cosine,1000,4.905,0.8966465301332515
10000,7,euclidean,1000,4.669,0.9420398080760707
10000,7,cosine_minus_euclidean,1000,0.236,0.8604092049716808
1000,3,cosine,10000,3.2758,0.8849487894788037
1000,3,euclidean,10000,3.5373,0.8992267289176852
1000,3,cosine_minus_euclidean,10000,-0.2615,0.7757046796300767
1000,4,cosine,10000,3.7365,0.8987033715303399
1000,4,euclidean,10000,3.7697,0.9229636558391668
1000,4,cosine_minus_euclidean,10000,-0.0332,0.7934089487773628
1000,5,cosine,10000,3.9666,0.9049223392092826
1000,5,euclidean,10000,3.8854,0.9287986003434758
1000,5,cosine_minus_euclidean,10000,0.0812,0.828979227725279
1000,20,cosine,10000,4.6342,0.8004938225870328
1000,20,euclidean,10000,4.2273,0.9612672417179314
1000,20,cosine_minus_euclidean,10000,0.4069,1.0564716702306787
